ticker,status,row_count,anomaly_count,error,output_file
P01GIS250626,saved,76,6,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P01GIS250626_2021-04-24_to_2026-04-24.csv
P01GIS290526,saved,219,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P01GIS290526_2021-04-24_to_2026-04-24.csv
P01GIS290926,saved,140,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P01GIS290926_2021-04-24_to_2026-04-24.csv
P01GIS300426,saved,4,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P01GIS300426_2021-04-24_to_2026-04-24.csv
P02PFL031026,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PFL031026_2021-04-24_to_2026-04-24.csv
P02PFL090127,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PFL090127_2021-04-24_to_2026-04-24.csv
P02PFL121226,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PFL121226_2021-04-24_to_2026-04-24.csv
P02PFL210925,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PFL210925_2021-04-24_to_2026-04-24.csv
P02PIB150128,saved,1,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PIB150128_2021-04-24_to_2026-04-24.csv
P02PIB160127,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PIB160127_2021-04-24_to_2026-04-24.csv
P02PIB170727,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PIB170727_2021-04-24_to_2026-04-24.csv
P02PIB200926,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P02PIB200926_2021-04-24_to_2026-04-24.csv
P03FRR020528,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR020528_2021-04-24_to_2026-04-24.csv
