date,open,high,low,close,volume,is_anomaly,ticker
2024-08-19,0.0,0.0,0.0,100.0,50000000,True,P05FRR280629
2024-08-21,0.0,0.0,0.0,100.0,0,True,P05FRR280629
2024-08-22,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-08-26,102.41,102.41,102.41,102.41,75005000,False,P05FRR280629
2024-08-27,102.41,102.41,102.41,102.41,70005000,False,P05FRR280629
2024-08-28,0.0,0.0,0.0,102.41,150000000,True,P05FRR280629
2024-08-30,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-02,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-03,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-04,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-05,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-06,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-09,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-10,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-11,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-12,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-13,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-16,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-18,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-19,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-20,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-23,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-24,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-25,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-09-26,0.0,0.0,0.0,102.41,0,True,P05FRR280629
2024-10-14,108.07,108.07,108.07,108.07,10000000,False,P05FRR280629
2024-10-16,111.0,111.0,111.0,111.0,5000,False,P05FRR280629
2024-12-12,0.0,0.0,0.0,111.0,75000000,True,P05FRR280629
2024-12-23,112.58,112.58,112.58,112.58,1000000,False,P05FRR280629
2025-02-14,112.68,112.68,112.68,112.68,5000,False,P05FRR280629
2025-02-24,110.5,110.5,110.5,110.5,65000000,False,P05FRR280629
2025-03-17,109.92,109.92,109.92,109.92,1000000,False,P05FRR280629
2025-04-04,110.0,110.0,110.0,110.0,5000,False,P05FRR280629
2025-04-15,108.4,108.4,108.4,108.4,10000,False,P05FRR280629
2025-04-17,109.25,109.25,109.25,109.25,225010000,False,P05FRR280629
2025-05-29,111.95,111.95,111.95,111.95,45000000,False,P05FRR280629
2025-06-03,113.14,113.14,113.14,113.14,250000000,False,P05FRR280629
2025-06-05,113.45,113.45,113.45,113.45,100000000,False,P05FRR280629
2025-06-11,113.5,113.5,113.5,113.5,100000000,False,P05FRR280629
2025-07-29,114.6,114.6,114.6,114.6,50000000,False,P05FRR280629
2025-08-12,0.0,0.0,0.0,114.6,40000000,True,P05FRR280629
2025-08-13,0.0,0.0,0.0,114.6,40000000,True,P05FRR280629
2025-08-25,0.0,0.0,0.0,114.6,50000000,True,P05FRR280629
2025-08-28,0.0,0.0,0.0,114.6,5000000,True,P05FRR280629
2025-08-29,0.0,0.0,0.0,114.6,5000,True,P05FRR280629
2025-10-02,112.88,112.88,112.88,112.88,7500000,False,P05FRR280629
2025-10-10,0.0,0.0,0.0,112.88,85000000,True,P05FRR280629
2025-11-04,0.0,0.0,0.0,112.88,95000000,True,P05FRR280629
2026-01-06,111.95,113.77,111.95,113.77,7000000,False,P05FRR280629
2026-01-14,114.56,114.56,113.75,113.75,100005000,False,P05FRR280629
2026-01-27,114.0,114.0,114.0,114.0,15000000,False,P05FRR280629
2026-01-29,113.91,113.91,113.91,113.91,5000000,False,P05FRR280629
2026-02-12,113.78,113.78,113.5,113.5,600000000,False,P05FRR280629
2026-02-23,113.06,113.06,113.06,113.06,65995000,False,P05FRR280629
2026-02-25,0.0,0.0,0.0,113.06,95000000,True,P05FRR280629
2026-02-26,112.71,112.71,112.71,112.71,95000000,False,P05FRR280629
2026-03-03,112.45,112.45,112.45,112.45,35000000,False,P05FRR280629
2026-04-02,106.61,106.61,106.61,106.61,1000000,False,P05FRR280629
2026-04-17,106.67,106.67,106.67,106.67,100000,False,P05FRR280629
