date,open,high,low,close,volume,is_anomaly
2025-04-24,211.8,214.0,210.0,211.69,3503471,False
2025-04-25,212.0,213.7,207.21,212.37,4086778,False
2025-04-28,212.37,213.55,207.5,208.0,1711531,False
2025-04-29,206.12,209.0,204.0,207.81,2656000,False
2025-04-30,207.0,207.0,197.1,200.38,5330775,False
2025-05-02,203.0,204.48,202.25,203.25,2120764,False
2025-05-05,204.0,204.0,199.51,200.22,1963019,False
2025-05-06,200.9,207.9,200.02,202.93,5936784,False
2025-05-07,190.11,201.99,190.11,196.63,8425414,False
2025-05-08,197.77,200.48,176.97,179.39,10630815,False
2025-05-09,179.99,185.75,174.26,184.55,9341157,False
2025-05-12,203.01,203.01,202.9,203.01,3446509,False
2025-05-13,209.0,219.99,203.5,218.66,30912153,False
2025-05-14,217.9,217.9,211.5,212.67,9743491,False
2025-05-15,213.05,215.9,211.35,213.73,6853346,False
2025-05-16,214.89,214.89,211.0,211.5,2618444,False
2025-05-19,213.0,213.51,209.4,211.7,4668009,False
2025-05-20,210.98,212.0,209.5,209.7,1452810,False
2025-05-21,210.3,214.5,209.5,213.74,4447556,False
2025-05-22,213.74,216.5,210.45,211.9,5090695,False
2025-05-23,212.8,213.7,210.6,212.37,1694126,False
2025-05-26,213.0,213.8,207.15,208.95,3432433,False
2025-05-27,209.25,210.9,208.0,209.41,4443220,False
2025-05-29,210.47,211.15,208.8,209.17,2255894,False
2025-05-30,209.1,210.1,207.5,209.49,1912843,False
2025-06-02,211.38,213.5,206.5,207.98,3666183,False
2025-06-03,208.0,210.0,207.25,209.15,1909426,False
2025-06-04,209.15,213.13,208.95,211.89,4379550,False
2025-06-05,211.89,212.5,209.5,209.95,2233027,False
2025-06-10,210.0,211.39,209.0,210.32,1191479,False
2025-06-11,212.65,216.45,212.1,215.31,8783176,False
2025-06-12,217.0,218.99,211.26,212.05,8617378,False
2025-06-13,211.0,212.2,208.23,208.86,5201407,False
2025-06-16,209.4,214.4,209.4,213.05,4640665,False
2025-06-17,213.0,215.45,212.0,214.26,5626262,False
2025-06-18,214.26,214.26,210.5,211.17,3680503,False
2025-06-19,213.55,216.01,209.85,210.68,4400385,False
2025-06-20,211.0,215.0,210.11,212.25,2708653,False
2025-06-23,210.0,210.5,202.0,203.86,4604885,False
2025-06-24,216.0,220.3,211.0,218.01,9161337,False
2025-06-25,218.39,219.01,216.1,217.85,6810842,False
2025-06-26,218.0,222.49,216.11,217.29,6966647,False
2025-06-27,217.5,226.0,216.75,221.19,9560957,False
2025-06-30,224.0,224.0,220.0,220.56,4322821,False
2025-07-01,220.3,223.0,218.99,221.57,4591432,False
2025-07-02,222.45,223.99,221.31,222.92,4662816,False
2025-07-03,224.13,230.0,224.0,229.09,9420347,False
2025-07-04,229.67,230.0,226.52,227.28,2458630,False
2025-07-07,227.28,230.0,226.51,229.14,3418591,False
2025-07-08,229.5,231.55,227.51,229.24,4163815,False
2025-07-09,228.99,230.0,225.06,228.02,7174231,False
2025-07-10,228.02,228.09,225.8,226.62,2904599,False
2025-07-11,227.05,229.01,226.1,227.89,2758043,False
2025-07-14,228.84,229.2,226.0,227.11,2390029,False
2025-07-15,227.5,228.0,224.0,224.43,2301456,False
2025-07-16,223.8,226.0,222.85,224.37,2358869,False
2025-07-17,224.8,227.98,224.1,225.18,3409629,False
2025-07-18,226.0,228.1,223.0,223.28,2838810,False
2025-07-21,223.28,223.99,220.99,221.18,2493261,False
2025-07-22,222.0,229.0,221.01,226.63,6603594,False
2025-07-23,228.4,231.0,225.52,226.23,4488616,False
2025-07-24,227.0,228.7,225.0,225.33,1876360,False
2025-07-25,225.33,226.98,224.23,225.91,2022116,False
2025-07-28,227.1,229.1,223.51,227.13,9303039,False
2025-07-29,226.99,227.48,222.05,224.04,1827872,False
2025-07-30,223.4,226.0,223.4,224.78,1481340,False
2025-07-31,228.0,238.0,228.0,233.01,24206621,False
2025-08-01,233.45,256.31,231.01,255.67,37045030,False
2025-08-04,265.0,269.0,259.12,260.22,17823555,False
2025-08-05,260.0,264.5,256.0,259.14,12663423,False
2025-08-06,259.77,263.4,257.65,262.24,8985338,False
2025-08-07,263.02,269.88,263.0,267.08,16976236,False
2025-08-08,267.2,276.99,267.2,270.48,19939697,False
2025-08-11,269.96,278.5,267.46,277.09,12017894,False
2025-08-12,278.5,279.35,269.4,271.54,15701553,False
2025-08-13,272.0,274.0,268.18,269.5,11217565,False
2025-08-15,270.0,271.65,261.01,262.58,8770183,False
2025-08-18,263.01,264.9,258.66,263.57,8838838,False
2025-08-19,263.97,264.38,259.0,259.71,7628890,False
2025-08-20,260.0,261.0,257.0,258.27,5294589,False
2025-08-21,259.01,262.15,255.55,260.97,9475709,False
2025-08-22,262.0,268.7,261.2,263.13,12454594,False
2025-08-25,262.55,264.25,260.23,260.97,2541898,False
2025-08-26,263.94,264.7,259.5,260.42,4337958,False
2025-08-27,261.0,261.99,259.02,260.33,2744110,False
2025-08-28,260.53,262.0,259.9,261.24,2197621,False
2025-08-29,261.4,271.25,260.0,264.36,14512990,False
2025-09-01,264.31,272.0,264.2,270.35,10452246,False
2025-09-02,271.97,272.78,268.0,269.32,6923779,False
2025-09-03,270.0,275.5,268.2,273.1,8356395,False
2025-09-04,272.5,273.74,269.06,270.39,6155542,False
2025-09-05,270.7,274.8,268.55,272.98,11586114,False
2025-09-08,274.97,276.9,273.0,275.0,7208664,False
2025-09-09,275.5,277.39,271.0,273.15,4430136,False
2025-09-10,272.99,275.5,271.25,272.92,3937900,False
2025-09-11,274.0,274.8,270.3,270.74,2301602,False
2025-09-12,270.74,271.2,267.0,267.58,3159599,False
2025-09-15,268.98,271.25,267.5,268.52,2587458,False
2025-09-16,269.0,273.11,268.5,272.19,3910471,False
2025-09-17,273.5,274.15,270.0,270.4,5140674,False
2025-09-18,274.4,274.4,271.0,272.12,4160324,False
2025-09-19,273.0,290.0,272.5,277.26,21409448,False
2025-09-22,278.0,284.1,277.94,280.64,9754396,False
2025-09-23,282.5,288.0,281.0,282.71,16354969,False
2025-09-24,285.8,287.74,281.45,282.86,13702496,False
2025-09-25,282.86,284.7,276.2,277.88,10971601,False
2025-09-26,278.0,282.2,277.88,280.53,7867269,False
2025-09-29,282.0,282.0,278.06,281.5,4922860,False
2025-09-30,282.7,284.8,276.12,277.23,9770262,False
2025-10-01,278.0,280.5,275.9,276.69,6107600,False
