date,open,high,low,close,volume,is_anomaly
2025-10-02,277.49,279.99,275.55,278.41,3122091,False
2025-10-03,278.5,280.79,277.0,277.92,3023187,False
2025-10-06,277.0,277.0,270.5,274.49,3715447,False
2025-10-07,275.0,276.25,270.9,271.34,4306794,False
2025-10-08,272.0,273.4,269.0,269.56,2531613,False
2025-10-09,269.0,272.3,266.9,267.53,3055646,False
2025-10-10,266.0,267.99,262.3,263.97,3026904,False
2025-10-13,261.0,261.9,250.0,252.84,7675950,False
2025-10-14,255.99,265.1,254.11,264.23,7818648,False
2025-10-15,267.4,267.4,258.8,260.64,4519704,False
2025-10-16,260.0,262.8,257.5,258.88,4526045,False
2025-10-17,259.95,262.3,257.1,258.21,6474476,False
2025-10-20,260.01,265.2,256.95,263.9,5683753,False
2025-10-21,260.0,268.0,260.0,264.63,6000969,False
2025-10-22,264.51,273.31,262.61,266.92,8802862,False
2025-10-23,265.0,272.55,265.0,266.32,3981547,False
2025-10-24,266.8,270.39,263.7,264.27,2779419,False
2025-10-27,264.1,265.1,260.0,260.76,3529130,False
2025-10-28,260.76,262.65,255.0,255.89,1391665,False
2025-10-29,258.8,260.2,255.0,256.58,4014759,False
2025-10-30,260.0,260.0,253.06,253.8,2426497,False
2025-10-31,255.0,259.6,255.0,256.67,2722444,False
2025-11-03,259.0,259.9,256.9,257.32,3411960,False
2025-11-04,257.0,257.32,252.3,254.16,3054725,False
2025-11-05,255.06,255.99,249.25,250.87,3461296,False
2025-11-06,251.97,252.0,247.37,248.3,3476731,False
2025-11-07,244.7,247.5,242.0,246.04,3216235,False
2025-11-10,250.19,253.99,246.45,252.65,6790953,False
2025-11-11,252.97,252.97,242.42,243.21,5846351,False
2025-11-12,243.02,246.47,238.2,240.15,5763232,False
2025-11-13,241.25,243.88,240.7,243.15,2374235,False
2025-11-14,244.15,249.0,243.25,247.42,3338222,False
2025-11-17,248.48,250.7,245.48,246.34,2961628,False
2025-11-18,247.79,247.79,243.9,245.42,1739620,False
2025-11-19,246.89,253.9,245.42,251.29,4970266,False
2025-11-20,253.9,256.74,253.02,255.4,4669196,False
2025-11-21,253.11,258.3,253.11,254.04,4400338,False
2025-11-24,253.0,254.0,249.15,250.79,2702952,False
2025-11-25,251.0,252.2,248.05,249.4,1553282,False
2025-11-26,249.64,255.5,246.0,253.62,4156348,False
2025-11-27,254.34,261.1,253.15,260.28,5914351,False
2025-11-28,261.0,266.0,261.0,265.21,9011505,False
2025-12-01,265.3,271.9,262.0,271.07,7542463,False
2025-12-02,272.7,273.5,266.66,267.39,4110677,False
2025-12-03,270.6,270.6,264.91,269.34,2663321,False
2025-12-04,270.9,271.99,266.4,270.67,1963792,False
2025-12-05,273.87,276.0,271.25,274.58,6618109,False
2025-12-08,274.65,278.2,273.5,274.36,5498405,False
2025-12-09,275.99,276.95,271.26,272.4,4113847,False
2025-12-10,273.5,273.75,269.8,270.21,2999715,False
2025-12-11,277.9,279.1,272.35,272.83,8803915,False
2025-12-12,273.35,275.99,271.25,275.11,4322752,False
2025-12-15,279.89,280.8,276.82,278.67,6874422,False
2025-12-16,279.49,280.49,274.5,275.6,3972935,False
2025-12-17,275.49,275.98,270.0,271.33,3611817,False
2025-12-18,272.0,272.0,268.75,269.29,2905022,False
2025-12-19,270.0,271.7,267.38,267.99,1865442,False
2025-12-22,268.5,269.0,266.0,266.87,1694899,False
2025-12-23,267.0,267.5,264.5,264.84,1167274,False
2025-12-24,265.0,268.68,265.0,267.46,1480848,False
2025-12-26,267.46,271.0,267.25,270.4,3327082,False
2025-12-29,271.25,274.49,270.39,273.57,4284099,False
2025-12-30,273.98,281.8,273.5,280.71,8989260,False
2025-12-31,280.89,283.94,279.0,281.09,5922492,False
2026-01-01,282.0,288.85,281.2,287.82,9986645,False
2026-01-02,288.99,299.5,288.5,294.24,11018046,False
2026-01-05,294.6,301.99,293.75,295.48,8886146,False
2026-01-06,295.39,295.98,290.5,293.45,6362211,False
2026-01-07,293.44,298.5,290.0,295.87,19916990,False
2026-01-08,297.26,301.9,294.0,296.11,11611994,False
2026-01-09,296.1,296.13,290.15,293.11,5148026,False
2026-01-12,290.99,293.0,289.3,289.88,3816285,False
2026-01-13,289.88,295.01,288.45,294.58,6373967,False
2026-01-14,294.58,304.8,294.58,303.25,18156180,False
2026-01-15,305.4,311.0,302.32,308.2,8786131,False
2026-01-16,309.5,331.8,309.2,329.0,19786109,False
2026-01-19,333.7,337.1,326.0,328.98,10054787,False
2026-01-20,333.5,334.89,328.0,333.9,7151890,False
2026-01-21,334.1,336.6,330.0,331.26,8140937,False
2026-01-22,330.0,334.0,328.65,332.49,3159287,False
2026-01-23,332.55,335.0,325.0,327.85,4976997,False
2026-01-26,329.0,332.5,325.0,327.47,4356688,False
2026-01-27,326.0,333.0,323.0,330.12,7151106,False
2026-01-28,332.51,336.2,331.6,333.56,6689440,False
2026-01-29,335.01,336.0,320.16,321.81,10913390,False
2026-01-30,325.0,329.5,318.6,323.93,6707829,False
2026-02-02,323.79,330.98,320.26,328.97,5477804,False
2026-02-03,328.97,332.5,327.0,329.02,4327179,False
2026-02-04,329.02,331.0,326.0,328.8,1776495,False
2026-02-06,329.0,329.0,315.8,321.18,6350781,False
2026-02-09,325.0,325.0,306.21,310.07,12789231,False
2026-02-10,310.99,312.5,307.0,308.05,2692709,False
2026-02-11,309.51,311.9,305.0,306.32,2094636,False
2026-02-12,307.9,307.9,294.6,300.47,8206049,False
2026-02-13,297.01,298.42,289.5,294.74,14028465,False
2026-02-16,295.0,296.35,281.51,285.41,14889577,False
2026-02-17,287.0,295.4,284.37,293.6,6856284,False
2026-02-18,295.56,299.98,291.5,297.49,5125937,False
2026-02-19,298.89,298.89,279.5,283.67,4478464,False
2026-02-20,285.12,292.99,280.5,290.41,3597651,False
2026-02-23,289.88,294.4,282.5,284.85,4989065,False
2026-02-24,285.01,292.01,278.98,285.57,7318099,False
2026-02-25,286.0,287.95,280.01,282.01,2199117,False
2026-02-26,282.1,290.0,277.51,287.0,4356222,False
2026-02-27,286.0,287.7,282.0,283.47,2213776,False
2026-03-02,255.12,274.0,255.12,255.12,11960980,False
2026-03-03,255.5,266.0,250.02,260.35,7420387,False
2026-03-04,261.95,265.48,256.25,263.56,5847854,False
2026-03-05,266.0,288.55,266.0,285.28,8152076,False
2026-03-06,284.0,285.98,273.5,275.79,5937936,False
2026-03-09,267.0,275.4,253.26,272.48,6816293,False
2026-03-10,290.0,297.9,281.01,288.6,7435962,False
2026-03-11,289.95,291.1,281.5,283.27,3783886,False
2026-03-12,283.4,285.5,273.65,274.81,4562205,False
2026-03-13,272.8,276.65,269.0,273.09,2915016,False
2026-03-16,272.99,275.5,259.52,261.86,2405108,False
2026-03-17,264.0,268.0,256.6,262.64,3046604,False
2026-03-18,264.0,281.99,262.01,279.75,5135452,False
2026-03-19,275.01,279.88,270.05,276.61,3024632,False
2026-03-24,285.0,289.3,275.0,276.5,5293284,False
2026-03-25,278.0,283.98,277.5,281.64,5683663,False
2026-03-26,279.99,281.5,272.3,274.13,5013789,False
2026-03-27,270.0,271.75,262.75,265.62,8371102,False
2026-03-30,265.0,272.0,250.0,263.5,6622456,False
2026-03-31,264.0,276.5,260.0,270.64,4137241,False
2026-04-01,278.44,284.89,276.0,279.08,7654898,False
2026-04-02,272.99,273.49,267.0,271.47,3345653,False
2026-04-03,270.0,277.4,266.21,270.59,4511446,False
2026-04-06,270.0,276.48,266.5,275.38,5675692,False
2026-04-07,272.89,276.75,271.01,275.34,3550872,False
2026-04-08,302.87,302.87,291.56,302.87,12924433,False
2026-04-09,302.87,302.9,290.01,297.7,6061644,False
2026-04-10,298.99,302.68,295.7,299.89,8632671,False
2026-04-13,292.99,302.1,292.0,293.48,10001847,False
2026-04-14,298.0,300.8,297.6,299.63,3863235,False
2026-04-15,309.74,309.8,302.4,304.12,7810723,False
2026-04-16,314.0,319.7,312.01,314.71,12057181,False
2026-04-17,315.0,329.4,315.0,324.72,13430014,False
2026-04-20,321.0,331.0,316.1,326.65,14265811,False
2026-04-21,327.9,329.0,321.11,324.21,5230868,False
2026-04-22,323.0,326.0,319.25,321.11,4410952,False
2026-04-23,320.0,321.2,315.84,319.34,2642398,False
2026-04-24,316.01,328.9,313.1,325.9,4675630,False
